trading_date,spread_name,price
2019/9/18,Spread_Port_01,-31.8
2019/9/18,Spread_Port_02,-105.4
2019/9/18,Spread_Port_03,-196.8
2019/9/18,Spread_Port_04,-73.6
2019/9/18,Spread_Port_05,-165
2019/9/18,Spread_Port_06,-91.4
2019/9/19,Spread_Port_01,-35
2019/9/19,Spread_Port_02,-115.6
2019/9/19,Spread_Port_03,-210.2
2019/9/19,Spread_Port_04,-80.6
2019/9/19,Spread_Port_05,-175.2
2019/9/19,Spread_Port_06,-94.6
2019/9/20,Spread_Port_01,-57.0848
2019/9/20,Spread_Port_02,-128.4848
2019/9/20,Spread_Port_03,-219.8848
2019/9/20,Spread_Port_04,-71.4
2019/9/20,Spread_Port_05,-162.8
2019/9/20,Spread_Port_06,-91.4
2019/9/23,Spread_Port_01,-40
2019/9/23,Spread_Port_02,-76.6
2019/9/23,Spread_Port_03,-174.4
2019/9/23,Spread_Port_04,-36.6
2019/9/23,Spread_Port_05,-134.4
2019/9/23,Spread_Port_06,-97.8
2019/9/24,Spread_Port_01,-39.4
2019/9/24,Spread_Port_02,-79.2
2019/9/24,Spread_Port_03,-172.2
2019/9/24,Spread_Port_04,-39.8
2019/9/24,Spread_Port_05,-132.8
2019/9/24,Spread_Port_06,-93
2019/9/25,Spread_Port_01,-38.8
2019/9/25,Spread_Port_02,-79.4
2019/9/25,Spread_Port_03,-167.6
2019/9/25,Spread_Port_04,-40.6
2019/9/25,Spread_Port_05,-128.8
2019/9/25,Spread_Port_06,-88.2
2019/9/26,Spread_Port_01,-36.8
2019/9/26,Spread_Port_02,-76.4
2019/9/26,Spread_Port_03,-157.2
2019/9/26,Spread_Port_04,-39.6
2019/9/26,Spread_Port_05,-120.4
2019/9/26,Spread_Port_06,-80.8
2019/9/27,Spread_Port_01,-36.6
2019/9/27,Spread_Port_02,-70.6
2019/9/27,Spread_Port_03,-162.6
2019/9/27,Spread_Port_04,-34
2019/9/27,Spread_Port_05,-126
2019/9/27,Spread_Port_06,-92
2019/9/30,Spread_Port_01,-40.6
2019/9/30,Spread_Port_02,-83
2019/9/30,Spread_Port_03,-177.4
2019/9/30,Spread_Port_04,-42.4
2019/9/30,Spread_Port_05,-136.8
2019/9/30,Spread_Port_06,-94.4
2019/10/8,Spread_Port_01,-35.6
2019/10/8,Spread_Port_02,-72.8
2019/10/8,Spread_Port_03,-163.6
2019/10/8,Spread_Port_04,-37.2
2019/10/8,Spread_Port_05,-128
2019/10/8,Spread_Port_06,-90.8
2019/10/9,Spread_Port_01,-40.8
2019/10/9,Spread_Port_02,-77.8
2019/10/9,Spread_Port_03,-176.2
2019/10/9,Spread_Port_04,-37
2019/10/9,Spread_Port_05,-135.4
2019/10/9,Spread_Port_06,-98.4
2019/10/10,Spread_Port_01,-42.8
2019/10/10,Spread_Port_02,-81.6
2019/10/10,Spread_Port_03,-180.6
2019/10/10,Spread_Port_04,-38.8
2019/10/10,Spread_Port_05,-137.8
2019/10/10,Spread_Port_06,-99
2019/10/11,Spread_Port_01,-43.2
2019/10/11,Spread_Port_02,-81.2
2019/10/11,Spread_Port_03,-178.2
2019/10/11,Spread_Port_04,-38
2019/10/11,Spread_Port_05,-135
2019/10/11,Spread_Port_06,-97
2019/10/14,Spread_Port_01,-39.2
2019/10/14,Spread_Port_02,-80
2019/10/14,Spread_Port_03,-179
2019/10/14,Spread_Port_04,-40.8
2019/10/14,Spread_Port_05,-139.8
2019/10/14,Spread_Port_06,-99
2019/10/15,Spread_Port_01,-41.6
2019/10/15,Spread_Port_02,-80.4
2019/10/15,Spread_Port_03,-178.4
2019/10/15,Spread_Port_04,-38.8
2019/10/15,Spread_Port_05,-136.8
2019/10/15,Spread_Port_06,-98
2019/10/16,Spread_Port_01,-45
2019/10/16,Spread_Port_02,-87.8
2019/10/16,Spread_Port_03,-186
2019/10/16,Spread_Port_04,-42.8
2019/10/16,Spread_Port_05,-141
2019/10/16,Spread_Port_06,-98.2
2019/10/17,Spread_Port_01,-55.2
2019/10/17,Spread_Port_02,-104.6
2019/10/17,Spread_Port_03,-204.8
2019/10/17,Spread_Port_04,-49.4
2019/10/17,Spread_Port_05,-149.6
2019/10/17,Spread_Port_06,-100.2
2019/10/18,Spread_Port_01,-68.6072
2019/10/18,Spread_Port_02,-117.4072
